#Lon Lat Depth mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) X_position Y_position ID Mechanism_type
266.53 -38.26 17.5 -3.29 0.444 2.84 2.29 0.75 -0.981 23 266.53 -38.26 C202006262022A N-SS
176.17 -38.49 138.0 1.75 0.299 -2.05 1.76 -1.07 1.6 23 176.17 -38.49 C202006262041A R-SS
120.91 23.11 18.4 -1.81 1.25 0.561 -0.109 -0.593 -1.01 23 120.91 23.11 C202006262327A N
145.87 14.13 46.8 0.94 -2.77 1.83 0.433 1.71 -0.774 23 145.87 14.13 C202006270443A SS-R
182.25 -33.23 21.6 2.08 -0.562 -1.52 -0.079 1.32 -0.284 23 182.25 -33.23 C202006270614A R
333.37 -55.46 12.0 2.77 -1.15 -1.61 -1.96 2.47 1.97 23 333.37 -55.46 C202006270718A R
289.15 -20.19 30.5 3.63 -0.399 -3.23 0.617 -2.38 0.365 23 289.15 -20.19 C202006270752A R
172.35 -63.49 12.0 -0.187 1.26 -1.07 -0.26 0.032 -0.553 24 172.35 -63.49 C202006271457A SS
172.01 -63.53 21.7 -0.156 2.75 -2.59 -1.62 -0.656 -0.877 23 172.01 -63.53 C202006271734A SS-R
182.26 -33.53 18.7 -1.47 0.116 1.36 -1.2 0.534 0.204 23 182.26 -33.53 C202006271829A N-SS
56.78 10.13 12.3 -1.98 1.22 0.762 1.29 0.405 -0.786 23 56.78 10.13 C202006280055A N-SS
129.93 -2.76 23.1 1.53 -1.25 -0.281 0.085 1.06 0.371 23 129.93 -2.76 C202006280213A R-SS
272.82 11.24 32.0 2.28 -1.46 -0.825 1.16 -0.829 1.19 23 272.82 11.24 C202006280233A R
293.07 17.97 19.3 0.134 0.585 -0.719 0.623 -0.892 2.81 23 293.07 17.97 C202006280642A SS
184.26 -18.23 18.6 -0.926 -1.66 2.59 0.465 0.286 0.971 23 184.26 -18.23 C202006280722A SS
313.56 17.59 12.0 -1.95 0.201 1.74 -1.26 -1.2 -0.067 23 313.56 17.59 C202006280732A N
187.53 -19.07 16.8 -2.47 0.515 1.95 -0.314 0.567 0.384 23 187.53 -19.07 C202006281206A N
28.11 36.49 71.3 0.878 -2.16 1.28 0.566 1.02 0.959 24 28.11 36.49 C202006281743A SS-R
277.44 5.16 18.6 -0.06 0.154 -0.093 0.387 -0.198 2.12 23 277.44 5.16 C202006290913A SS
141.75 33.94 13.5 1.07 0.04 -1.11 -0.142 0.571 -0.035 24 141.75 33.94 C202006290952A R
343.69 -41.76 12.0 -3.38 1.38 2 1.36 0.516 -1.72 23 343.69 -41.76 C202006291453A N
343.72 -41.82 18.1 -3.17 1.74 1.43 0.745 0.706 -1.28 23 343.72 -41.82 C202006291505A N
346.35 -11.68 12.0 0.105 -2.29 2.18 -1.93 0.964 4.11 24 346.35 -11.68 C202006291940A SS
271.84 11.43 12.0 -7.29 4.62 2.67 2.48 2.81 -3.28 23 271.84 11.43 C202006292228A N
116.09 6.75 615.2 -0.39 -7.3 7.69 -0.92 -2.61 -0.96 23 116.09 6.75 B202006300158A SS
182.91 -34.05 14.7 -2.28 0.474 1.8 -0.011 0.769 -0.382 23 182.91 -34.05 C202006300544A N
121.53 -8.58 195.2 -2.38 0.408 1.97 2.56 1.14 1.19 23 121.53 -8.58 C202006300627A N
141.81 33.97 17.6 2.07 -0.319 -1.75 -0.887 1.07 0.24 23 141.81 33.97 C202006301256A R
169.05 -19.46 110.4 -1.81 0.229 1.58 -1.68 0.267 1.74 23 169.05 -19.46 C202006302210A N-SS
184.18 -18.19 14.6 0.09 -1.96 1.87 0.117 0.572 -0.396 23 184.18 -18.19 C202006302249A SS
